인증번호,모델명,제품명,브랜드명,사업자구분,법정제품분류,리콜종류,리콜사업자명,제조국가명,제조사명,제조사국가명,리콜방법,위해유형,안전성조사명,등록일
,가이온마린5단800서랍장,가구,가이온,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),명령에따른리콜,가이온퍼니처,국내>아시아지역>대한민국,가이온퍼니처,국내>아시아지역>대한민국,교환수거수리환불,열상,4,2020-09-23
,제이플5단서랍장,가구,,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),명령에따른리콜,동서가구,국내>아시아지역>대한민국,콤아트,국내>아시아지역>대한민국,교환수거수리환불,제조불량,4,2020-09-23
,웨이브W하이글로시그레이5단서랍장,가구,웨스트프롬,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),명령에따른리콜,(주)웨스트프롬,국내>아시아지역>대한민국,제이케이퍼니쳐,국내>아시아지역>대한민국,교환수거수리환불,열상,4,2020-09-23
,리마하이그로시4단900광폭대형서랍장,가구,노하우,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),명령에따른리콜,플랜데코,국내>아시아지역>대한민국,플랜데코,국내>아시아지역>대한민국,교환수거수리환불,열상,4,2020-09-23
,레시피5단서랍장,가구,리센,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),명령에따른리콜,리센,국내>아시아지역>대한민국,리센,국내>아시아지역>대한민국,교환수거수리환불,제조불량,4,2020-09-23
A101R030-4002,M82,비비탄총,,수입,생활용품>비비탄총>성인용비비탄총,명령에따른리콜,대진무역,국외>아시아지역>중국,대진무역,국내>아시아지역>대한민국,교환수거수리환불,기타,4,2020-09-23
,하버8005단서랍장,가구,히트가구,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),명령에따른리콜,히트가구,국내>아시아지역>대한민국,도담가구,국내>아시아지역>대한민국,교환수거수리환불,제조불량,4,2020-09-23
,벤티8005단수납서랍장,가구,,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),명령에따른리콜,상일리베가구,국내>아시아지역>대한민국,오하임아이엔티,국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-23
,와이더8005단수납서랍장,가구,포더홈,제조,생활>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정)>가구(높이762mm이상의가정용서랍장및사무용파일링캐비닛에한정),명령에따른리콜,(주)오하임아이엔티,국내>아시아지역>대한민국,오하임아이엔티,국내>아시아지역>대한민국,교환수거수리환불,제조불량,4,2020-09-23
,EDEL-EYE,속눈썹열성형기,,수입,생활>속눈썹열성형기>속눈썹열성형기,명령에따른리콜,에덴샵,국외>아시아지역>중국,,,교환수거수리환불,화재및화상,4,2020-09-23
B675R0010-18001,물이잘빠지는푹신한욕실매트,실내용바닥재,,수입,건축>실내용바닥재>PVC바닥재-비닐장판-비온돌용,명령에따른리콜,(주)비스비바,국외>아시아지역>중국,(주)비스비바인터내셔날,국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-23
B675R0010-18001,물이잘빠지는푹신한욕실매트,실내용바닥재,,수입,건축>실내용바닥재>실내용바닥재,명령에따른리콜,(주)비스비바,국외>아시아지역>중국,(주)비스비바인터내셔날,국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-23
B671R028-20001,욕실매트,실내용바닥재,,수입,건축>실내용바닥재>PVC바닥재-비닐장판-비온돌용,명령에따른리콜,주식회사히키스,국외>아시아지역>중국,,,교환수거수리환불,유해물질,4,2020-09-23
B671R028-20001,욕실매트,실내용바닥재,,수입,건축>실내용바닥재>실내용바닥재,명령에따른리콜,주식회사히키스,국외>아시아지역>중국,,,교환수거수리환불,유해물질,4,2020-09-23
B671R015-19001,욕실매트MONACO,실내용바닥재,,수입,건축>실내용바닥재>PVC바닥재-비닐장판-비온돌용,명령에따른리콜,주식회사모나코올리브,국외>아시아지역>중국,CHANGZHOUWANJIAHUANSHANGMAOYOUXIANGONGSI,국외>아시아지역>중국,교환수거수리환불,유해물질,4,2020-09-23
B671R015-19001,욕실매트MONACO,실내용바닥재,,수입,건축>실내용바닥재>실내용바닥재,명령에따른리콜,주식회사모나코올리브,국외>아시아지역>중국,CHANGZHOUWANJIAHUANSHANGMAOYOUXIANGONGSI,국외>아시아지역>중국,교환수거수리환불,유해물질,4,2020-09-23
CB061R431-8002,미니공,완구,,수입,어린이>완구,명령에따른리콜,(주)아이산업,국외>아시아지역>중국,(주)아이산업,국내>아시아지역>대한민국,교환수거수리환불,유해물질,4,2020-09-23
